district,rooms,size,level,max_levels,price,street
Яккасарайский,2,70.0,8,9,48000.0, Мухандислар
Мирабадский,2,78.0,4,8,77000.0, Фидокор (Чехова)
Яккасарайский,4,145.0,7,8,115000.0, Юсуфа Хос Ходжиба
Мирзо-Улугбекский,3,100.0,2,5,128000.0, ц-1 Буюк ипак йули (Ц-1)
Яшнободский,2,54.0,4,4,33000.0, 1-й проезд Мурабби
Мирабадский,3,70.0,2,4,66000.0, Фидокор (Чехова)
Яккасарайский,5,116.0,3,5,80000.0, Кушбеги
Чиланзарский,3,72.0,8,9,37700.0, Чиланзар квартал 20Д
Шайхантахурский,1,70.0,6,7,60000.0, Урда
Мирзо-Улугбекский,2,60.0,9,9,28500.0, ТТЗ
Чиланзарский,2,52.0,4,5,38000.0, Чиланзар 6-й квартал
Яккасарайский,3,95.0,7,8,65000.0, Ул.Ш.Руставели
Чиланзарский,2,44.0,1,4,38000.0, Чиланзар 6-й квартал
Чиланзарский,2,42.0,3,4,36500.0, Чиланзар 6-й квартал
Чиланзарский,2,43.0,2,4,36500.0, Чиланзар 6-й квартал
Чиланзарский,3,77.0,5,5,95000.0, Чиланзар 6-й квартал
Чиланзарский,1,24.0,3,4,20000.0, Чиланзар 7-й квартал
Чиланзарский,1,30.0,1,4,26000.0, Чиланзар 7-й квартал
Чиланзарский,2,41.0,1,4,36000.0, Чиланзар 7-й квартал
Юнусабадский,2,46.0,2,4,36000.0, Кашкар
Чиланзарский,2,42.0,2,4,36500.0, Чиланзар 7-й квартал
Юнусабадский,2,51.0,3,4,45000.0, Юнусабад-11
Учтепинский,3,62.0,5,5,33500.0, Чиланзар 24-й квартал
Яшнободский,1,50.0,5,12,25000.0, Авиасозлар/Лисунова-4
Юнусабадский,4,107.0,6,9,75500.0, 1-й проезд Кулолкургон
Юнусабадский,5,255.0,1,8,270000.0, ц-5 Киёт (Ц-5)
Юнусабадский,6,266.0,1,8,285000.0, ц-5 Киёт (Ц-5)
Олмазорский,1,38.0,6,9,27500.0, Каракамыш-2/3
Яккасарайский,4,210.0,4,8,265000.0, Кичик Бешагач
Яккасарайский,4,110.0,7,9,75000.0, Башлык
Олмазорский,2,55.62,5,9,31000.0, Каракамыш 2/4
Сергелийский,2,66.0,8,9,31507.0, Сергели-II
Яккасарайский,2,53.0,3,5,54000.0, Шота Руставели
Олмазорский,4,119.0,2,5,110000.0, обводная  Нурафшон
Мирзо-Улугбекский,2,56.0,1,4,35000.0, Академгородок
Мирзо-Улугбекский,3,68.0,4,4,24000.0, Кибрай
Мирабадский,3,125.0,7,12,129999.0, Мирабад
Яккасарайский,4,140.0,8,10,105000.0, Тезиковая дача
Яккасарайский,4,141.0,7,7,95000.0, ул. Мукимий
Учтепинский,4,74.0,4,4,47500.0, Чиланзар 11-й квартал
Мирзо-Улугбекский,2,63.0,5,5,34997.0, Карасу 1-й квартал
Учтепинский,2,41.0,4,4,32000.0, Чиланзар 11-й квартал
Мирабадский,2,52.0,3,5,37000.0, Фуркат
Чиланзарский,3,68.0,3,4,39000.0, Чиланзар квартал Г9
Мирабадский,4,110.0,1,4,63500.0, Фуркат
Мирзо-Улугбекский,2,60.0,6,9,35500.0, Хумаюн
Чиланзарский,1,54.0,9,9,35000.0, Чиланзар квартал Г9
Мирзо-Улугбекский,2,60.0,5,5,35000.0, Карасу 6-й квартал
Чиланзарский,2,46.0,3,4,37500.0, Чиланзар 9-й квартал
Чиланзарский,4,94.0,4,5,73000.0, Чиланзар 8-й квартал
Чиланзарский,2,58.0,1,9,40000.0, Чиланзар 7-й квартал
Мирзо-Улугбекский,4,92.0,3,5,62000.0, Карасу 2-й квартал
Чиланзарский,3,70.0,3,4,55000.0, Чиланзар 5-й квартал
Чиланзарский,2,42.0,4,4,37400.0, Чиланзар 2-й квартал
Чиланзарский,2,42.0,4,4,35800.0, Чиланзар 2-й квартал
Чиланзарский,2,75.0,4,12,60000.0, проспект Бунёдкор
Юнусабадский,3,72.0,1,9,100000.0, Ахмада Дониша
Учтепинский,3,85.0,7,9,52500.0, 4-й проезд Такачи
Юнусабадский,2,65.0,5,9,44000.0, Юнусабад 4-й квартал
Чиланзарский,2,65.0,9,9,56600.0, Алмазар
Чиланзарский,2,46.0,3,4,42000.0, chilonzor 7
Мирзо-Улугбекский,2,60.94,9,9,36542.0, Алтынтепа
Мирабадский,4,165.0,1,8,264999.0, Окбилол
Мирабадский,4,215.0,5,8,259999.0, Янгизамон
Яшнободский,2,59.0,4,4,26500.0, Фергана Йули
Мирзо-Улугбекский,2,66.82,5,7,65000.0, Паркент
Чиланзарский,5,98.0,5,9,70000.0, Катта козиробод
Мирзо-Улугбекский,2,48.0,1,4,34499.0, Феруза-1
Учтепинский,3,92.0,8,9,46000.0, Шарк
Мирабадский,4,128.0,1,7,87000.0, Миробод
Мирабадский,2,56.0,2,5,37500.0, Чиланзар-1
Яшнободский,1,45.0,1,5,36500.0, жилой комплекс Обод Макон
Чиланзарский,3,70.0,2,4,48000.0, Шарк
Учтепинский,2,56.0,2,5,37500.0, Чиланзар-1
Мирзо-Улугбекский,4,95.0,1,5,78000.0, Карасу 6-й квартал
Мирабадский,2,100.0,8,9,150000.0, Шароф Рашидов
Мирзо-Улугбекский,4,97.0,5,5,80000.0, Карасу 6-й квартал
Мирзо-Улугбекский,4,130.0,4,9,98500.0, Сайрам
Юнусабадский,3,67.0,4,4,42000.0, Юнусабад 4-й квартал
Мирзо-Улугбекский,4,95.0,5,5,50000.0, Хумаюн
Юнусабадский,2,62.0,4,9,55000.0, Кашкар
Яккасарайский,3,75.0,10,16,70000.0, Нукус 2 а
Яккасарайский,3,70.0,6,6,81999.0, Шота Руставели
Яшнободский,2,59.0,2,7,22534.0, Тузель 3-й квартал
Юнусабадский,2,55.0,1,9,43000.0, Юнусабад 11-й квартал
Юнусабадский,2,59.0,5,5,37000.0," 5 квартал, на против Американского посольства"
Чиланзарский,2,44.0,4,4,29500.0, Алгоритм
Шайхантахурский,2,30.0,3,3,38500.0, пр-т Навои
Яккасарайский,2,56.0,2,5,38000.0, Чиланзар-1
Учтепинский,3,60.0,4,4,40000.0, Чиланзар 30-й квартал
Мирабадский,2,70.0,3,4,83000.0, Тараса Шевченко
Мирзо-Улугбекский,2,64.0,4,5,34500.0, Ахмад Югнакий
Чиланзарский,3,100.0,1,12,57000.0, Алгоритм
Чиланзарский,3,68.0,2,4,50000.0, Алгоритм
Юнусабадский,4,115.0,3,9,64000.0, Юнусабад 16-й квартал
Мирзо-Улугбекский,2,60.0,4,4,34000.0, Городок Тракторостроителей 2-й квартал
Мирзо-Улугбекский,5,100.0,4,4,48000.0, Феруза-1
Мирзо-Улугбекский,2,50.0,2,4,32500.0, Ялангач
Мирабадский,3,105.0,7,9,125000.0, Нукус
Мирзо-Улугбекский,2,70.0,4,7,87000.0, 2-й Паркентский проезд
Мирзо-Улугбекский,5,137.0,3,7,105000.0, Паркентская (Генерала Петрова)
Яшнободский,1,36.0,4,9,26000.0, Ташсельмаш
Яккасарайский,2,52.0,1,3,55000.0, Глинки
Янгихаётский,2,47.14,4,4,28000.0, 10-й строительный участок
Чиланзарский,3,65.0,1,5,45000.0, Чиланзар 9-й квартал
Мирзо-Улугбекский,4,130.0,6,9,115000.0, проспект Мустакиллик
Мирзо-Улугбекский,4,110.0,4,6,125000.0, Буюк Ипак йули (Луначарское)
Яккасарайский,2,61.0,2,9,53000.0, Шота Руставели
Мирабадский,2,40.0,1,1,23500.0," СЕВЕРНЫЙ ВОКЗАЛ(Саракулька, 4роддом)"
Яккасарайский,3,75.0,7,9,62000.0, Мирабад
Чиланзарский,2,54.0,4,4,37500.0, Чиланзар 5-й квартал
Юнусабадский,2,64.0,3,4,54962.0, Минор
Чиланзарский,1,30.0,3,4,31000.0, Чиланзар 6-й квартал
Чиланзарский,3,68.0,4,4,46500.0, Чиланзар 5-й квартал
Юнусабадский,2,50.0,1,4,38000.0, Юнусобод 4
Мирабадский,2,44.0,6,9,60000.0, ЦУМ (Ц-7)
Мирзо-Улугбекский,1,35.0,2,2,20600.0, Экобозор
Яккасарайский,3,70.0,4,5,68500.0, 1-й переулок Кичик Бешагач
